course,weeks,weekday,date,periods,start_time,end_time,room,teacher,type,content,color
Jounal Club-YJT,1-6,三,, ,20:00,22:00,,,meeting,Jounal Club-YJT,#FFD54F
Group Meeting-YJT,1-6,日,,1-2,,,,,meeting,Group Meeting-YJT 9:00,#FFD54F
Group Meeting-DWQ,1-6,五,, ,20:00,21:00,,,meeting,Group Meeting-DWQ,#FFF59D
Group Meeting-DS,1-6,五,,14,22:30,23:30,,,meeting,DS 22:30-23:30,#64B5F6
Cne to One-DS,1-6,日,, ,21:00,21:30,,,meeting,Cne to One-XS,#64B5F6
